Lendo Dados Arquivo... f2-1296.dat
Inicializando conjunto de operacoes...
1466.08813476562500000000000000000000 -117209.32031250000000000000000000000000
Transpondo dados...
/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 256 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.10
* NUM MAXIMO NOS   : 256 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 6 	 
* M: 1296 	 N: 3
* NUM_OPBIN: 4 	 NUM_OPUN: 4
* NUM_CTES: 1 	 SEED: 10
*------------------------------------------------------------------
(sqrt(-40318.00000000000000000000)) | Numero de nos: 2 | Erro: 536535531520.0000000000000000000000000 |
(sqrt(X2)) | Numero de nos: 2 | Erro: 536536678400.0000000000000000000000000 |
(sin(X1)) | Numero de nos: 2 | Erro: 536534908928.0000000000000000000000000 |
(sqrt(+(-20497.68750000000000000000)(+(X2)(-(sin(/(/(X2)(sqrt(-(sqrt(exp(sqrt(X2))))(exp(X2)))))(+(sqrt(exp(exp(-(+(*(/(+(exp(exp(exp(sqrt(-(-(sin(exp(-(-(X1)(/(sqrt(-8205.03125000000000000000))(+(X1)(X2))))(X2))))(X1))(-(-(X1)(X1))(X2)))))))(-(exp(cos(sqrt(+(exp(+(+(X1)(-(sqrt(/(exp(*(-(-(+(cos(/(+(+(exp(-59600.43750000000000000000))(X2))(X2))(-(+(cos(-115487.25000000000000000000))(exp(/(exp(+(X1)(-41660.93750000000000000000)))(X2))))(exp(+(exp(/(X1)(cos(/(-(X2)(-48647.25000000000000000000))(X2)))))(cos(+(X1)(*(-(/(X1)(-88429.87500000000000000000))(sqrt(-(exp(X2))(exp(-(exp(sin(exp(cos(sqrt(-(exp(sqrt(cos(X2))))(-(-104017.00000000000000000000)(X1))))))))(sqrt(/(X2)(-(X2)(-43430.00000000000000000000)))))))))(sqrt(-(exp(sin(-54376.25000000000000000000)))(exp(+(/(*(X1)(X2))(+(X1)(*(-106506.12500000000000000000)(cos(X2)))))(cos(+(sqrt(exp(sin(-(/(/(+(*(exp(cos(+(X2)(*(+(+(*(+(-(/(-(-37519.06250000000000000000)(X2))(X1))(+(*(X1)(sqrt(/(X1)(sin(cos(sqrt(X1)))))))(exp(X1))))(cos(exp(*(X1)(exp(exp(/(exp(*(/(X2)(*(sin(/(X2)(sin(sqrt(sqrt(sin(-615.15917968750000000000)))))))(-(exp(sin(+(exp(X1))(X1))))(X2))))(-70662.75000000000000000000)))(X2))))))))(+(+(*(exp(exp(exp(X2))))(/(sqrt(cos(X2)))(-(X1)(X2))))(X2))(X2)))(X2))(-71371.12500000000000000000))(X1)))))(X2))(-48490.62500000000000000000))(sin(X2)))(X2))(-112438.75000000000000000000)))))(X1)))))))))))))))(X2))(-52762.56250000000000000000))(X1))(-14984.23437500000000000000)))(X2)))(X1)))(X1)))(X2)))))(X1)))(X1))(-67669.00000000000000000000))(-51332.81250000000000000000))(-69836.12500000000000000000)))))(X1))))(-18028.18750000000000000000))))) | Numero de nos: 256 | Erro: inf |
(cos(*(sin(-(X2)(exp(+(-(*(X1)(+(cos(exp(X2)))(cos(cos(cos(-(/(cos(sqrt(+(*(exp(X2))(X1))(sqrt(/(X2)(X1))))))(X2))(X1)))))))(-(X1)(X1)))(exp(sqrt(sin(-(X2)(X1)))))))))(sin(sin(sqrt(X2)))))) | Numero de nos: 45 | Erro: 536533336064.0000000000000000000000000 |
(cos(/(-(+(*(-(X1)(+(*(X1)(-(-51343.18750000000000000000)(sqrt(/(-86071.87500000000000000000)(exp(exp(sin(cos(+(exp(*(*(-(*(-(+(-(-109834.12500000000000000000)(/(*(+(*(X1)(-(+(-16188.95312500000000000000)(+(/(X2)(-106493.00000000000000000000))(X2)))(*(-89448.12500000000000000000)(+(cos(sin(X1)))(cos(-42315.87500000000000000000))))))(sin(cos(exp(+(X1)(sin(/(cos(/(/(*(/(exp(X1))(-68646.50000000000000000000))(cos(-(+(cos(cos(/(exp(/(X1)(sqrt(-(X2)(X2)))))(+(X2)(-4054.01953125000000000000)))))(*(/(-33290.50000000000000000000)(*(*(/(+(sqrt(+(X1)(X1)))(+(sqrt(sqrt(X2)))(*(-37157.37500000000000000000)(-58381.43750000000000000000))))(X2))(+(-(-(exp(X1))(*(*(sqrt(+(-(/(X2)(+(/(cos(sqrt(X2)))(X2))(exp(-(-(/(cos(+(-(cos(cos(sin(cos(cos(-(exp(X1))(/(sin(+(sqrt(+(exp(-10962.57812500000000000000))(X2)))(exp(cos(X2)))))(+(-57622.87500000000000000000)(sin(sin(*(sqrt(X1))(/(sqrt(+(cos(sin(/(sin(*(-49015.93750000000000000000)(exp(-(-58126.31250000000000000000)(-(sin(cos(-(sqrt(*(+(sqrt(-(-19374.09375000000000000000)(/(-88783.00000000000000000000)(-22679.43750000000000000000))))(X1))(-(cos(X1))(sqrt(-96457.25000000000000000000)))))(sin(X1)))))(+(-(/(X2)(exp(exp(*(sin(sqrt(sqrt(sin(sqrt(cos(X1)))))))(+(*(sin(+(X2)(-106360.00000000000000000000)))(exp(exp(-(X1)(X2)))))(sin(exp(-96709.87500000000000000000))))))))(X1))(*(sin(X2))(/(X1)(-(-113039.00000000000000000000)(-83365.75000000000000000000))))))))))(X1))))(-53115.68750000000000000000)))(cos(X1))))))))))))))(X2))(X2)))(X1))(X2))(X2)))))(X2))(-64892.12500000000000000000)))(X2))(X2)))(X1))(X1)))(-103195.62500000000000000000)))(X2)))(X2))))(-88456.75000000000000000000))(X1)))(-89451.00000000000000000000))))))))(X1))(X1)))(X1))(X2))(X2))(-84399.75000000000000000000))(200.95019531250000000000))(X1)))(-97492.75000000000000000000))))))))))(-36983.62500000000000000000)))(X2))(X2))(-80057.12500000000000000000))(X2))) | Numero de nos: 256 | Erro: inf |
(+(X2)(X1)) | Numero de nos: 3 | Erro: 536419368960.0000000000000000000000000 |
(*(+(+(X1)(*(X2)(sqrt(+(+(X1)(X2))(+(sin(-(X1)(cos(/(X1)(sqrt(+(*(-26924.43750000000000000000)(exp(*(/(cos(sin(/(cos(-103967.00000000000000000000))(cos(X1)))))(exp(+(-(+(-11058.96875000000000000000)(/(-40499.68750000000000000000)(X2)))(/(exp(X1))(/(sqrt(+(sqrt(-(sin(sin(X1)))(cos(sqrt(sin(-2577.04296875000000000000))))))(/(X2)(sin(sqrt(-(+(cos(*(+(/(sqrt(/(sqrt(-96949.75000000000000000000))(-3303.12109375000000000000)))(sin(sin(/(sin(exp(X2)))(cos(-(sqrt(-(/(sqrt(/(sin(-110195.87500000000000000000))(-(+(/(exp(X2))(sqrt(sin(/(exp(-(X1)(-33358.06250000000000000000)))(-(-(cos(sqrt(cos(/(+(X1)(sqrt(-(cos(-(sqrt(X2))(cos(exp(cos(X1))))))(+(X1)(X2)))))(cos(X2))))))(-(sqrt(X2))(sin(cos(X2)))))(+(-(sqrt(sqrt(X1)))(-19764.90625000000000000000))(sqrt(-(exp(+(+(-(-(-71877.50000000000000000000)(*(cos(sin(/(X2)(exp(sin(X1))))))(/(cos(sqrt(X1)))(cos(cos(X2))))))(sqrt(cos(+(sqrt(cos(exp(-(*(+(/(-(X2)(/(-(X1)(X1))(/(-(cos(-91018.62500000000000000000))(sin(-(/(-(/(sin(X2))(-72194.12500000000000000000))(exp(*(-(+(cos(X1))(X2))(*(sqrt(X1))(*(/(X2)(sin(+(-26175.46875000000000000000)(-(/(sin(/(sqrt(-110577.50000000000000000000))(X1)))(X2))(/(-25458.18750000000000000000)(+(*(/(X1)(-111416.50000000000000000000))(sin(sqrt(/(-47946.56250000000000000000)(X2)))))(exp(/(+(sqrt(X1))(sqrt(-94277.62500000000000000000)))(X1)))))))))(-48441.31250000000000000000))))(X1))))(-41615.81250000000000000000))(-77256.87500000000000000000))))(X2))))(X1))(X2))(-78911.00000000000000000000))(-40885.50000000000000000000)))))(X2)))))(-25566.09375000000000000000))(-74656.37500000000000000000)))(X1)))))))))(X2))(-112261.37500000000000000000))))(X2))(X1)))(X2)))))))(-26637.81250000000000000000))(X1)))(X1))(-36506.12500000000000000000)))))))(-69762.87500000000000000000))))(X2))))(X1))))(X1)))))))(-38176.43750000000000000000))))))(X2))(-52036.43750000000000000000)) | Numero de nos: 256 | Erro: inf |
(*(*(-15332.18750000000000000000)(sin(-(X1)(/(sqrt(+(X2)(*(/(X1)(X1))(sin(*(*(X2)(exp(*(sin(+(sqrt(/(/(sin(+(-97593.00000000000000000000)(sin(*(-(sqrt(cos(sqrt(sin(X1)))))(/(-(-100968.37500000000000000000)(sqrt(sin(X1))))(exp(*(-(exp(sqrt(cos(-86703.25000000000000000000))))(/(*(*(sin(cos(sin(sin(sin(-(sqrt(-(X1)(sqrt(sin(*(/(/(*(*(*(exp(-(-107304.87500000000000000000)(sqrt(X2))))(sqrt(cos(/(+(-26534.09375000000000000000)(X2))(sin(-84126.37500000000000000000))))))(-(cos(+(sin(-(cos(exp(cos(sqrt(X2)))))(exp(X1))))(X1)))(sqrt(-(+(-(*(-(/(exp(X1))(*(X2)(-(/(sqrt(-34224.00000000000000000000))(cos(sin(-(*(sin(cos(X1)))(sin(X1)))(X2)))))(sqrt(*(X2)(*(sin(-68580.25000000000000000000))(+(*(-69434.37500000000000000000)(exp(-(-55951.68750000000000000000)(-92719.37500000000000000000))))(-(sin(cos(/(cos(cos(sqrt(-(/(cos(X2))(-(+(+(cos(X1))(*(sin(cos(cos(X1))))(X2)))(exp(exp(sqrt(sqrt(sqrt(exp(/(sin(X2))(/(sin(/(-(exp(/(cos(-(*(+(X2)(X2))(X1))(+(sqrt(-(exp(*(cos(/(cos(*(/(exp(sin(sqrt(cos(-111050.00000000000000000000)))))(*(*(sin(sin(*(-(exp(-(-(-(-91487.25000000000000000000)(sin(sqrt(/(+(*(cos(exp(X1)))(-109555.37500000000000000000))(X2))(X1)))))(X1))(X2)))(-3241.10546875000000000000))(-39027.50000000000000000000))))(-112079.00000000000000000000))(X2)))(X1)))(X2)))(X2)))(cos(X2))))(X2))))(X2)))(X2))(X2)))(X1))))))))))(X2)))(X2)))))(-62066.81250000000000000000))))(X1)))))))))(X2))(X1))(X1))(X2))(-82012.25000000000000000000)))))(-25522.06250000000000000000))(-7257.46875000000000000000))(X2))(X2))))))(X1)))))))(X1))(X2))(-1091.56640625000000000000)))(-70332.87500000000000000000)))))(X2)))))(X2))(-30787.03125000000000000000)))(X1)))(X1))))(-88196.62500000000000000000))))))(X2)))))(X2)) | Numero de nos: 256 | Erro: 2215184695296.0000000000000000000000000 |
(-(sin(sqrt(sqrt(exp(cos(*(/(-109070.25000000000000000000)(sqrt(/(sin(+(-53489.31250000000000000000)(/(-(-62051.68750000000000000000)(sin(+(sin(exp(-(exp(-(-(*(sin(X1))(cos(X2)))(/(*(cos(-(-108952.12500000000000000000)(-(sqrt(X1))(exp(sin(-53996.31250000000000000000))))))(-47394.06250000000000000000))(cos(/(-12588.34375000000000000000)(exp(X2))))))(X1)))(cos(X1)))))(X1))))(X2))))(-81162.37500000000000000000))))(exp(+(*(+(-(*(+(*(X2)(cos(-56341.43750000000000000000)))(+(/(X2)(-74749.62500000000000000000))(X2)))(-(/(exp(/(X2)(-20573.81250000000000000000)))(sin(-63859.87500000000000000000)))(sin(cos(X1)))))(X1))(X1))(-9601.67187500000000000000))(sin(cos(cos(-(-(X2)(sin(+(sqrt(exp(sin(sqrt(sin(cos(-46811.25000000000000000000)))))))(sin(cos(X2))))))(-91067.50000000000000000000)))))))))))))(cos(cos(sqrt(cos(X2)))))) | Numero de nos: 107 | Erro: inf |
(-(exp(+(sqrt(+(X2)(exp(X2))))(sqrt(-68934.50000000000000000000))))(*(-(X1)(X1))(/(+(X1)(-110842.62500000000000000000))(X2)))) | Numero de nos: 19 | Erro: 1261766836224.0000000000000000000000000 |
