C17 12
cm42a 30
cm82a 18
cm138a 33
decod 59
f51m 638
majority 13
z4ml 499
9symml 1039
alu2 1790
cm85a 610
cm151a 43
cm162a 57
cu 64
x2 56
cmb 44
cc 86
frg1 1605
pm1 2084
sct 438
tcon 43
