Lendo Dados Arquivo...

N = 3


M = 1089

-5.00000000000000000000000000000000 -5.00000000000000000000000000000000 1.63206338882446290000000000000000 
-5.00000000000000000000000000000000 -4.68750000000000000000000000000000 -0.14318509399890900000000000000000 
-5.00000000000000000000000000000000 -4.37500000000000000000000000000000 -1.90456402301788330000000000000000 
-5.00000000000000000000000000000000 -4.06250000000000000000000000000000 -3.48145914077758790000000000000000 
-5.00000000000000000000000000000000 -3.75000000000000000000000000000000 -4.72112560272216800000000000000000 
-5.00000000000000000000000000000000 -3.43750000000000000000000000000000 -5.50348472595214840000000000000000 
-5.00000000000000000000000000000000 -3.12500000000000000000000000000000 -5.75275373458862300000000000000000 
-5.00000000000000000000000000000000 -2.81250000000000000000000000000000 -5.44478702545166020000000000000000 
-5.00000000000000000000000000000000 -2.50000000000000000000000000000000 -4.60941648483276370000000000000000 
-5.00000000000000000000000000000000 -2.18750000000000000000000000000000 -3.32755851745605470000000000000000 
-5.00000000000000000000000000000000 -1.87500000000000000000000000000000 -1.72337973117828370000000000000000 
-5.00000000000000000000000000000000 -1.56250000000000000000000000000000 0.04773274809122085600000000000000 
-5.00000000000000000000000000000000 -1.25000000000000000000000000000000 1.81422162055969240000000000000000 
-5.00000000000000000000000000000000 -0.93750000000000000000000000000000 3.40497756004333500000000000000000 
-5.00000000000000000000000000000000 -0.62500000000000000000000000000000 4.66591310501098630000000000000000 
-5.00000000000000000000000000000000 -0.31250000000000000000000000000000 5.47488975524902340000000000000000 
-5.00000000000000000000000000000000 0.00000000000000000000000000000000 5.75354576110839840000000000000000 
-5.00000000000000000000000000000000 0.31250000000000000000000000000000 5.47488975524902340000000000000000 
-5.00000000000000000000000000000000 0.62500000000000000000000000000000 4.66591310501098630000000000000000 
-5.00000000000000000000000000000000 0.93750000000000000000000000000000 3.40497756004333500000000000000000 
-5.00000000000000000000000000000000 1.25000000000000000000000000000000 1.81422162055969240000000000000000 
-5.00000000000000000000000000000000 1.56250000000000000000000000000000 0.04773274809122085600000000000000 
-5.00000000000000000000000000000000 1.87500000000000000000000000000000 -1.72337973117828370000000000000000 
-5.00000000000000000000000000000000 2.18750000000000000000000000000000 -3.32755851745605470000000000000000 
-5.00000000000000000000000000000000 2.50000000000000000000000000000000 -4.60941648483276370000000000000000 
-5.00000000000000000000000000000000 2.81250000000000000000000000000000 -5.44478702545166020000000000000000 
-5.00000000000000000000000000000000 3.12500000000000000000000000000000 -5.75275373458862300000000000000000 
-5.00000000000000000000000000000000 3.43750000000000000000000000000000 -5.50348472595214840000000000000000 
-5.00000000000000000000000000000000 3.75000000000000000000000000000000 -4.72112560272216800000000000000000 
-5.00000000000000000000000000000000 4.06250000000000000000000000000000 -3.48145914077758790000000000000000 
-5.00000000000000000000000000000000 4.37500000000000000000000000000000 -1.90456402301788330000000000000000 
-5.00000000000000000000000000000000 4.68750000000000000000000000000000 -0.14318509399890900000000000000000 
-5.00000000000000000000000000000000 5.00000000000000000000000000000000 1.63206338882446290000000000000000 
-4.68750000000000000000000000000000 -5.00000000000000000000000000000000 1.70144593715667720000000000000000 
-4.68750000000000000000000000000000 -4.68750000000000000000000000000000 -0.14927221834659576000000000000000 
-4.68750000000000000000000000000000 -4.37500000000000000000000000000000 -1.98553133010864260000000000000000 
-4.68750000000000000000000000000000 -4.06250000000000000000000000000000 -3.62946367263793950000000000000000 
-4.68750000000000000000000000000000 -3.75000000000000000000000000000000 -4.92183113098144530000000000000000 
-4.68750000000000000000000000000000 -3.43750000000000000000000000000000 -5.73745012283325200000000000000000 
-4.68750000000000000000000000000000 -3.12500000000000000000000000000000 -5.99731588363647460000000000000000 
-4.68750000000000000000000000000000 -2.81250000000000000000000000000000 -5.67625713348388670000000000000000 
-4.68750000000000000000000000000000 -2.50000000000000000000000000000000 -4.80537271499633790000000000000000 
-4.68750000000000000000000000000000 -2.18750000000000000000000000000000 -3.46902036666870120000000000000000 
-4.68750000000000000000000000000000 -1.87500000000000000000000000000000 -1.79664444923400880000000000000000 
-4.68750000000000000000000000000000 -1.56250000000000000000000000000000 0.04976197332143783600000000000000 
-4.68750000000000000000000000000000 -1.25000000000000000000000000000000 1.89134824275970460000000000000000 
-4.68750000000000000000000000000000 -0.93750000000000000000000000000000 3.54973077774047850000000000000000 
-4.68750000000000000000000000000000 -0.62500000000000000000000000000000 4.86427164077758790000000000000000 
-4.68750000000000000000000000000000 -0.31250000000000000000000000000000 5.70763921737670900000000000000000 
