/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 4: 
(sqrt(0.82885)) | Numero de nos: 2 | Erro: 434176364904448.0000000000000000000000000 |
MELHOR: (*(sin(0.72655))(sqrt(sqrt(/(0.45436)(-(sqrt(/(0.45436)(x1)))(cos(sin(*(sin(0.08850))(-(sqrt(sin(sin(-(x1)(-(cos(sqrt(sin(0.72655))))(x1))))))(0.60347)))))))))) | Numero de nos: 30 | Erro: 434175995805696.0000000000000000000000000 |
MELHOR: (*(sin(0.72655))(sqrt(sqrt(/(0.45436)(-(sqrt(/(x1)(0.70507)))(cos(sin(*(sin(0.08850))(-(sqrt(sin(sin(-(x1)(-(cos(sqrt(sin(x1))))(x1))))))(0.60347)))))))))) | Numero de nos: 30 | Erro: 434176029360128.0000000000000000000000000 |
MELHOR: (*(sin(0.72655))(sqrt(sqrt(/(0.80727)(-(sqrt(/(x1)(0.45436)))(cos(sin(*(sin(0.08850))(0.26170))))))))) | Numero de nos: 18 | Erro: 434175895142400.0000000000000000000000000 |
MELHOR: (*(0.80727)(sqrt(sqrt(/(0.80727)(-(sqrt(/(x1)(0.45436)))(cos(sin(+(0.93579)(-(sqrt(-(cos(*(sqrt(*(*(0.00983)(0.47633))(0.59545)))(x1)))(x1)))(0.92331)))))))))) | Numero de nos: 29 | Erro: 434176364904448.0000000000000000000000000 |
MELHOR: (*(sin(0.72655))(sqrt(sqrt(/(0.80727)(-(sqrt(cos(0.47206)))(cos(sin(+(0.17487)(-(sqrt(+(cos(/(-(*(sqrt(x1))(x1))(x1))(0.11716)))(0.48140)))(cos(0.66085))))))))))) | Numero de nos: 30 | Erro: 434176331350016.0000000000000000000000000 |
MELHOR: (*(sin(0.72655))(sqrt(sqrt(/(0.80727)(-(sqrt(cos(0.47206)))(cos(sin(+(0.17487)(-(sqrt(+(cos(/(-(*(0.80727)(x1))(x1))(0.11716)))(0.48140)))(cos(0.66085))))))))))) | Numero de nos: 29 | Erro: 434176297795584.0000000000000000000000000 |
MELHOR: (*(sin(0.72655))(sqrt(sqrt(/(x1)(-(sqrt(cos(0.47206)))(cos(sin(+(0.17487)(-(sqrt(+(cos(/(-(*(0.80727)(x1))(x1))(0.11716)))(0.24567)))(cos(0.66085))))))))))) | Numero de nos: 29 | Erro: 434176029360128.0000000000000000000000000 |
MELHOR: (*(0.80727)(sqrt(sqrt(/(sqrt(x1))(-(sqrt(/(x1)(0.17487)))(cos(sin(+(0.93579)(-(sqrt(-(x1)(x1)))(0.92331)))))))))) | Numero de nos: 22 | Erro: 434175458934784.0000000000000000000000000 |
MELHOR: (*(0.80727)(*(-(*(+(0.88134)(x1))(sqrt(-(x1)(sqrt(-(cos(/(sin(0.29719))(*(0.79833)(*(/(*(x1)(cos(x1)))(0.26234))(x1)))))(x1))))))(x1))(0.66100))) | Numero de nos: 30 | Erro: 434161701617664.0000000000000000000000000 |
MELHOR: (*(sin(0.72655))(sqrt(sqrt(/(x1)(-(sqrt(0.80727))(cos(+(sin(0.72655))(-(sqrt(+(cos(/(-(cos(*(0.09720)(0.80727)))(x1))(0.11716)))(0.24567)))(x1))))))))) | Numero de nos: 28 | Erro: 434175828033536.0000000000000000000000000 |
