/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 2: 
MELHOR: (cos(/(-(sin(cos(/(+(-(-(-(sin(/(0.54616)(sqrt(sin(sin(0.62581))))))(x1))(0.88742))(0.36003))(x1))(0.88742))))(0.95563))(x1))) | Numero de nos: 24 | Erro: 434176364904448.0000000000000000000000000 |
MELHOR: (cos(/(-(sin(cos(/(+(sqrt(sqrt(-(sqrt(x1))(*(-(+(+(/(sin(cos(sin(0.00903))))(x1))(x1))(x1))(0.75655))(x1)))))(x1))(0.88742))))(0.95563))(x1))) | Numero de nos: 30 | Erro: 434176364904448.0000000000000000000000000 |
MELHOR: (cos(/(-(sin(cos(/(+(-(-(-(sin(/(0.54616)(*(x1)(*(/(0.04337)(cos(-(x1)(0.63076))))(x1)))))(x1))(0.95563))(0.36003))(x1))(0.88742))))(0.95563))(x1))) | Numero de nos: 30 | Erro: 434176364904448.0000000000000000000000000 |
MELHOR: (sqrt(-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(x1))(0.47478)))(0.31605))(0.80203))(sqrt(0.78100)))))(0.01602))))(x1))(x1))) | Numero de nos: 30 | Erro: 434174720737280.0000000000000000000000000 |
MELHOR: (sqrt(-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(x1))(0.47478)))(0.32966))(0.80203))(sqrt(0.78100)))))(0.01602))))(x1))(x1))) | Numero de nos: 30 | Erro: 434174385192960.0000000000000000000000000 |
MELHOR: (sqrt(-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(x1))(0.47478)))(0.32966))(0.80203))(sqrt(0.78100)))))(0.01602))))(x1))(x1))) | Numero de nos: 30 | Erro: 434174385192960.0000000000000000000000000 |
MELHOR: (sqrt(-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(x1))(0.47478)))(0.32966))(0.80203))(sqrt(0.78100)))))(0.01602))))(x1))(0.95563))) | Numero de nos: 30 | Erro: 434174385192960.0000000000000000000000000 |
MELHOR: (sqrt(-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(x1))(0.47478)))(0.32966))(0.80203))(sqrt(0.80203)))))(0.01602))))(x1))(0.95563))) | Numero de nos: 30 | Erro: 434174653628416.0000000000000000000000000 |
MELHOR: (sqrt(-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(x1))(0.47478)))(0.32966))(0.80203))(sqrt(0.80203)))))(0.01602))))(x1))(x1))) | Numero de nos: 30 | Erro: 434174687182848.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.46596))(0.47478)))(0.32966))(0.80203))(sqrt(0.47673)))))(0.01602))))(x1))(x1)) | Numero de nos: 29 | Erro: 434154453860352.0000000000000000000000000 |
