Seed 1: 
(cos (0.19330)) | Numero de nos: 2 | Erro = 434176364904448.0000000000000000000000000  
(sin (-(/(x1)(x1))(sqrt (0.93463)))) | Numero de nos: 7 | Erro = 434176633339904.0000000000000000000000000  
(*(/(/(0.04337)(0.06342))(+(0.46748)(0.93597)))(+(/(x1)(x1))(+(0.03055)(0.52876)))) | Numero de nos: 15 | Erro = 434176398458880.0000000000000000000000000  
(+(sqrt (cos (0.97812)))(sqrt (+(x1)(0.19614)))) | Numero de nos: 8 | Erro = 434175391825920.0000000000000000000000000  
(/(sin (+(0.62728)(x1)))(-(/(0.45439)(x1))(+(0.09998)(x1)))) | Numero de nos: 12 | Erro = 434176633339904.0000000000000000000000000  
(sin (sqrt (/(x1)(0.51112)))) | Numero de nos: 5 | Erro = 434176499122176.0000000000000000000000000  
(+(+(cos (0.36003))(+(x1)(x1)))(sin (+(0.00021)(x1)))) | Numero de nos: 11 | Erro = 434177035993088.0000000000000000000000000  
(cos (/(+(x1)(x1))(sin (0.35133)))) | Numero de nos: 7 | Erro = 434176666894336.0000000000000000000000000  
(+(+(cos (x1))(cos (0.77483)))(/(-(x1)(x1))(+(x1)(0.38874)))) | Numero de nos: 13 | Erro = 434176465567744.0000000000000000000000000  
(/(sqrt (+(x1)(0.99029)))(/(-(x1)(x1))(sin (0.07630)))) | Numero de nos: 11 | Erro = 434176364904448.0000000000000000000000000  
(cos (sin (+(x1)(0.83285)))) | Numero de nos: 5 | Erro = 434176432013312.0000000000000000000000000  
(-(/(sin (x1))(+(x1)(0.27732)))(*(+(0.48592)(0.51454))(-(0.26093)(x1)))) | Numero de nos: 14 | Erro = 434176968884224.0000000000000000000000000  
(sqrt (cos (+(0.89325)(x1)))) | Numero de nos: 5 | Erro = 434176398458880.0000000000000000000000000  
(/(/(-(0.32060)(0.81698))(/(x1)(0.30500)))(+(sqrt (0.51567))(cos (x1)))) | Numero de nos: 13 | Erro = 434176633339904.0000000000000000000000000  
(+(cos (cos (0.74428)))(+(+(0.49962)(x1))(*(x1)(0.30045)))) | Numero de nos: 11 | Erro = 434176767557632.0000000000000000000000000  
(sin (-(*(0.88812)(0.42082))(cos (0.30799)))) | Numero de nos: 7 | Erro = 434176700448768.0000000000000000000000000  
(sin (sin (*(x1)(0.25480)))) | Numero de nos: 5 | Erro = 434176633339904.0000000000000000000000000  
(sin (-(sin (0.07504))(sqrt (x1)))) | Numero de nos: 6 | Erro = 434176734003200.0000000000000000000000000  
(cos (cos (+(0.10672)(x1)))) | Numero de nos: 5 | Erro = 434176398458880.0000000000000000000000000  
(-(sin (-(x1)(0.00757)))(*(*(x1)(x1))(/(x1)(x1)))) | Numero de nos: 12 | Erro = 434623410601984.0000000000000000000000000  
(*(*(sqrt (0.50053))(/(x1)(x1)))(+(cos (x1))(-(0.57030)(0.49959)))) | Numero de nos: 13 | Erro = 434176666894336.0000000000000000000000000  
(+(*(/(x1)(0.68999))(-(x1)(0.42961)))(sqrt (+(x1)(x1)))) | Numero de nos: 12 | Erro = 433528026169344.0000000000000000000000000  
(-(+(cos (0.41823))(/(0.74648)(0.36714)))(sin (sin (0.05448)))) | Numero de nos: 10 | Erro = 434175962251264.0000000000000000000000000  
(*(sin (sqrt (x1)))(cos (/(0.74340)(0.24110)))) | Numero de nos: 8 | Erro = 434176734003200.0000000000000000000000000  
(-(/(sqrt (0.13285))(sin (x1)))(/(*(0.14985)(x1))(sqrt (x1)))) | Numero de nos: 12 | Erro = 434175861587968.0000000000000000000000000  
(+(cos (sin (x1)))(sqrt (+(x1)(x1)))) | Numero de nos: 8 | Erro = 434175156944896.0000000000000000000000000  
(sin (/(-(x1)(0.87811))(cos (x1)))) | Numero de nos: 7 | Erro = 434176599785472.0000000000000000000000000  
(sqrt (-(sqrt (0.53917))(+(x1)(x1)))) | Numero de nos: 7 | Erro = 434175324717056.0000000000000000000000000  

POPULACAO FINAL 
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 1344.7478027343750000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 1344.7478027343750000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 1344.7478027343750000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 8283.7333984375000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 8283.7333984375000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 8283.7333984375000000000000000  
(*(*(-(sqrt (*(/(0.03006)(+(x1)(0.50713)))(/(-(x1)(x1))(0.50453))))(-(sqrt (0.55025))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(0.79653)(x1)))) | Numero de nos: 29 | Erro = 37670764544.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(sqrt (0.46168)))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 434734341554176.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(x1)(0.10541)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 67828664.0000000000000000000000000  
(*(*(-(sqrt (0.97967))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(x1)(x1))(+(x1)(0.46168)))) | Numero de nos: 19 | Erro = 433580337528832.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(+(0.03006)(x1)))(/(-(sin (x1))(x1))(x1))))(-(sqrt (0.55025))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(0.79653)(x1)))) | Numero de nos: 30 | Erro = 77632495616.0000000000000000000000000  
(*(*(-(sqrt (*(sin (0.61483))(*(/(x1)(-(0.46168)(x1)))(sin (0.45393)))))(-(sqrt (0.99234))(+(0.52074)(x1))))(x1))(*(-(0.46168)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 1736734316429312.0000000000000000000000000  
(*(*(-(sqrt (x1))(-(sqrt (0.55025))(+(+(x1)(sqrt (sin (*(sqrt (0.02344))(sin (sin (cos (cos (x1)))))))))(x1))))(x1))(*(+(0.03006)(x1))(+(0.79653)(x1)))) | Numero de nos: 30 | Erro = 489678180450304.0000000000000000000000000  
(*(*(x1)(*(/(x1)(-(sin (-(sqrt (sqrt (cos (/(x1)(0.40706)))))(0.93167)))(x1)))(/(-(sin (x1))(x1))(x1))))(*(+(0.03006)(x1))(+(0.79653)(x1)))) | Numero de nos: 30 | Erro = 435176958066688.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.66118)(-(0.46168)(0.71538)))(/(x1)(-(x1)(x1)))))(-(sqrt (x1))(+(x1)(x1))))(x1))(*(+(x1)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 3614964988248064.0000000000000000000000000  
(*(*(-(-(/(cos (cos (-(0.00763)(/(-(x1)(x1))(0.34257)))))(0.76263))(x1))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 434381449592832.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.66118))(+(0.64833)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 23857426432.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (x1))(+(0.50453)(x1))))(x1))(*(+(0.03006)(sin (-(0.60655)(x1))))(x1))) | Numero de nos: 30 | Erro = 432939816976384.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (x1))(*(0.56346)(cos (0.90219)))))(x1))(*(+(0.03006)(x1))(sin (0.45393)))) | Numero de nos: 29 | Erro = 434628443766784.0000000000000000000000000  
(*(*(-(sqrt (*(sin (0.61483))(*(/(cos (x1))(-(0.46168)(x1)))(x1))))(-(sqrt (0.99234))(+(0.52074)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 18869047296.0000000000000000000000000  
(*(*(-(sqrt (0.97967))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(sqrt (*(/(x1)(-(sqrt (*(cos (x1))(cos (x1))))(sqrt (x1))))(/(x1)(-(0.46168)(x1)))))) | Numero de nos: 30 | Erro = 433362669928448.0000000000000000000000000  
(*(*(-(*(+(x1)(x1))(sin (0.50130)))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(x1)(+(x1)(0.46168)))) | Numero de nos: 21 | Erro = 402331631878144.0000000000000000000000000  
(*(*(-(sqrt (*(sin (0.61483))(*(/(x1)(-(0.46168)(x1)))(sin (0.45393)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 67828664.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.66118)(sqrt (0.13294))))))(-(sqrt (0.99234))(+(0.52074)(x1))))(x1))(*(+(0.03006)(x1))(+(0.46168)(0.46168)))) | Numero de nos: 30 | Erro = 432736678445056.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.46168)(0.81448)))))(-(sin (/(x1)(sqrt (x1))))(0.03006)))(x1))(*(x1)(+(x1)(0.46168)))) | Numero de nos: 28 | Erro = 353880877563904.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.42320)(-(0.79653)(0.03006)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(+(0.50453)(x1))(x1))(sqrt (x1)))) | Numero de nos: 30 | Erro = 349452397182976.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(x1)(x1))))(0.68258))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 435815096254464.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(x1)(x1)))(/(x1)(-(0.66118)(sqrt (0.13294))))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(x1)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 693080684494848.0000000000000000000000000  
(*(*(-(+(-(*(x1)(+(x1)(sin (*(sin (0.66036))(0.22748)))))(0.37474))(0.40223))(-(sqrt (0.66118))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 888133197395656700.0000000000000000000000000  
(*(*(x1)(/(sqrt (0.06531))(0.51738)))(*(+(0.03006)(x1))(+(0.79653)(x1)))) | Numero de nos: 14 | Erro = 434599821836288.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(sqrt (0.99234))(+(x1)(0.46168)))) | Numero de nos: 28 | Erro = 435078274482176.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(+(0.03006)(x1))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 435657860186112.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.66118)(-(0.79653)(0.71538)))(/(x1)(-(x1)(sqrt (0.06308))))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(/(x1)(0.09671)))) | Numero de nos: 30 | Erro = 37746247066451968.0000000000000000000000000  
(*(*(-(sqrt (/(0.46168)(-(0.66118)(x1))))(-(sqrt (0.99234))(+(x1)(x1))))(x1))(*(+(0.52074)(x1))(+(x1)(0.46168)))) | Numero de nos: 23 | Erro = 442707612794880.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.03006)(sqrt (x1)))(/(-(x1)(sqrt (0.66118)))(x1))))(-(sqrt (0.55025))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(0.79653)(x1)))) | Numero de nos: 29 | Erro = 19664320512.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.46168)(x1)))))(-(sqrt (0.99234))(+(x1)(0.50453))))(x1))(0.05747)) | Numero de nos: 23 | Erro = 434150863536128.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.03006)(x1)))(/(x1)(+(x1)(0.46168)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(x1)))) | Numero de nos: 29 | Erro = 434517579923456.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(x1)(x1)))(/(x1)(+(x1)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(x1)(x1))(-(x1)(sqrt (x1))))) | Numero de nos: 30 | Erro = 357357620035584.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.46168)(0.94784)))(/(-(sin (x1))(x1))(x1))))(-(sqrt (0.55025))(+(0.50453)(x1))))(x1))(*(+(x1)(x1))(+(0.79653)(x1)))) | Numero de nos: 30 | Erro = 627244204556288.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(0.03006)(0.46168)))) | Numero de nos: 29 | Erro = 434661092229120.0000000000000000000000000  
(*(*(x1)(x1))(*(x1)(+(x1)(0.46168)))) | Numero de nos: 9 | Erro = 64697470976.0000000000000000000000000  
(*(*(-(x1)(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 18 | Erro = 435378385321984.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.03006)(+(x1)(0.61483)))(/(-(x1)(sqrt (0.46168)))(x1))))(-(sqrt (0.55025))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(0.79653)(x1)))) | Numero de nos: 30 | Erro = 60254994432.0000000000000000000000000  
(*(*(-(sqrt (*(sin (0.50713))(*(/(x1)(-(0.46168)(x1)))(sin (0.45393)))))(-(sqrt (0.99234))(+(0.07080)(x1))))(x1))(*(+(0.52074)(x1))(+(x1)(0.79653)))) | Numero de nos: 29 | Erro = 34386464768.0000000000000000000000000  
(*(*(x1)(*(0.55028)(+(sqrt (0.99234))(x1))))(*(+(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(0.73156))(+(0.79653)(x1)))) | Numero de nos: 27 | Erro = 434500668489728.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(cos (x1))(x1)))(/(x1)(-(0.66118)(x1)))))(-(0.78613)(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 9850173440.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.66118)(-(0.79653)(0.71538)))(/(x1)(-(x1)(sqrt (0.06308))))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 767863160832.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(x1)))) | Numero de nos: 29 | Erro = 435168435240960.0000000000000000000000000  
(/(sin (*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(x1)))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1)))(x1)) | Numero de nos: 20 | Erro = 434176633339904.0000000000000000000000000  
(*(*(-(sqrt (*(sin (0.61483))(*(/(cos (0.88665))(-(0.46168)(x1)))(sin (0.45393)))))(-(sqrt (0.99234))(+(0.07080)(x1))))(x1))(*(+(0.52074)(x1))(+(x1)(0.79653)))) | Numero de nos: 30 | Erro = 45959794688.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(0.78613))(*(+(0.03006)(x1))(+(x1)(sqrt (0.90909))))) | Numero de nos: 30 | Erro = 434667970887680.0000000000000000000000000  
(*(*(x1)(*(0.55028)(+(x1)(x1))))(*(+(sqrt (0.52898))(x1))(+(0.79653)(x1)))) | Numero de nos: 16 | Erro = 4379156152320.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.03006)(+(x1)(0.50713)))(/(-(x1)(sqrt (0.46168)))(x1))))(-(x1)(+(0.66118)(x1))))(x1))(*(+(0.46168)(x1))(+(0.79653)(0.11939)))) | Numero de nos: 29 | Erro = 433689355878400.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(*(0.49306)(cos (0.71419))))))(-(sqrt (0.66118))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 11682597306368.0000000000000000000000000  
(*(*(x1)(0.26508))(*(+(0.03006)(x1))(+(0.46168)(0.46168)))) | Numero de nos: 11 | Erro = 434067245891584.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.03006)(+(x1)(0.50713)))(/(-(0.18720)(sqrt (x1)))(x1))))(-(0.83694)(+(0.50453)(x1))))(x1))(*(+(x1)(x1))(+(0.79653)(x1)))) | Numero de nos: 29 | Erro = 432915624230912.0000000000000000000000000  
(*(0.65825)(*(x1)(+(x1)(0.46168)))) | Numero de nos: 7 | Erro = 433882763624448.0000000000000000000000000  
(*(*(-(sqrt (*(/(sqrt (0.66118))(-(0.81448)(x1)))(/(x1)(-(x1)(0.31043)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 84171481088.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.99234)(-(x1)(0.71538)))(/(x1)(-(x1)(sqrt (0.06308))))))(-(sqrt (0.86486))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 68405325824.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.02356))(+(0.50453)(x1))))(x1))(*(+(0.99234)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 727006969856.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(+(x1)(0.46168)))(/(x1)(-(x1)(0.10541)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 104598256.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.03006)(x1)))(/(x1)(-(x1)(sqrt (x1))))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(-(0.81448)(x1)))) | Numero de nos: 30 | Erro = 1738646650617856.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(x1)(x1)))(/(-(sin (x1))(x1))(x1))))(-(sqrt (0.55025))(+(0.50453)(x1))))(x1))(*(+(0.03006)(0.55025))(+(0.79653)(x1)))) | Numero de nos: 30 | Erro = 434495199117312.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(x1)(x1)))(/(-(sin (x1))(x1))(x1))))(-(sqrt (x1))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(x1)))) | Numero de nos: 30 | Erro = 346126414774272.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(+(0.03006)(0.46168)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(0.50453)(x1)))) | Numero de nos: 29 | Erro = 8372863631360.0000000000000000000000000  
(sqrt (/(*(x1)(+(/(sin (sin (+(sin (/(/(+(-(cos (*(/(/(x1)(0.55498))(0.34205))(x1)))(x1))(x1))(x1))(0.60524)))(x1))))(0.17429))(x1)))(0.73226))) | Numero de nos: 30 | Erro = 434164520189952.0000000000000000000000000  
(*(*(-(sqrt (*(x1)(*(/(x1)(-(0.46168)(x1)))(sin (0.45393)))))(-(sqrt (0.99234))(+(0.52074)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 28 | Erro = 1363132153856.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(x1)(x1)))(/(x1)(+(0.03006)(x1)))))(-(sqrt (0.99234))(+(0.50453)(sin (0.61483)))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 435418717749248.0000000000000000000000000  
(*(*(-(sqrt (*(/(sqrt (x1))(0.01016))(/(sqrt (0.46168))(-(x1)(0.10541)))))(-(sqrt (0.99234))(+(0.50453)(sqrt (x1)))))(x1))(*(+(0.03006)(x1))(+(x1)(0.03006)))) | Numero de nos: 30 | Erro = 373031700529152.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.03006)(0.62856)))(/(x1)(-(x1)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 6773057519616.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.66118)(-(0.79653)(0.71538)))(/(x1)(-(x1)(sqrt (0.06308))))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(x1)))) | Numero de nos: 30 | Erro = 432294162595840.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(0.62337))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 434718000545792.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.81448)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.46504)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 42259976192.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.66118)(-(0.46168)(0.71538)))(/(x1)(-(x1)(x1)))))(-(-(0.30256)(x1))(+(x1)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 1736369915297792.0000000000000000000000000  
(*(*(-(sqrt (*(sin (x1))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.52074)(0.82388))(x1))) | Numero de nos: 24 | Erro = 435841906245632.0000000000000000000000000  
(*(*(-(sqrt (*(-(cos (/(cos (-(0.57097)(cos (x1))))(0.01730)))(0.99280))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(x1)(0.50453))))(+(x1)(0.46168)))(0.05747)) | Numero de nos: 30 | Erro = 434150964199424.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(x1)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 67828664.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(sqrt (+(0.79653)(x1))))(/(x1)(-(x1)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(x1)(0.11411))(+(x1)(0.66118)))) | Numero de nos: 30 | Erro = 366175354880.0000000000000000000000000  
(*(*(-(sqrt (*(/(0.42320)(-(0.79653)(0.03006)))(/(x1)(-(0.08271)(x1)))))(-(sqrt (+(0.03006)(x1)))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(sqrt (x1)))) | Numero de nos: 30 | Erro = 394090797596672.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(sin (sqrt (0.37788)))))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(0.99234)(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 430026990288896.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(x1)(x1)))(/(x1)(-(0.66118)(sqrt (0.13294))))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.68258)(x1))(+(x1)(x1)))) | Numero de nos: 30 | Erro = 696372508491776.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(0.46168))(+(x1)(0.46168)))) | Numero de nos: 29 | Erro = 434566334513152.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(sqrt (+(x1)(x1))))(/(x1)(-(x1)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(x1)(0.11411))(+(x1)(0.66118)))) | Numero de nos: 30 | Erro = 228045635584.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(sqrt (+(x1)(x1))))(/(x1)(-(x1)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(x1)(0.11411))(+(x1)(0.66118)))) | Numero de nos: 30 | Erro = 228045635584.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(x1)(x1)))))(-(sqrt (0.99234))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(0.99234)(0.46168)))) | Numero de nos: 29 | Erro = 435921262477312.0000000000000000000000000  
(*(*(-(sqrt (*(/(x1)(-(0.79653)(x1)))(/(x1)(-(0.66118)(sqrt (0.19227))))))(-(sqrt (x1))(+(0.50453)(x1))))(x1))(*(+(0.03006)(x1))(+(x1)(0.46168)))) | Numero de nos: 30 | Erro = 23023432237056.0000000000000000000000000  
