/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 9: 
(cos(sin(sin(sqrt(x1))))) | Numero de nos: 5 | Erro: 434176398458880.0000000000000000000000000 |
MELHOR: (-(*(sin(0.12516))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sqrt(x1))(sin(0.08664))))))(0.02973)))(x1))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433673920839680.0000000000000000000000000 |
MELHOR: (-(*(sin(0.47661))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sin(0.32597))(sin(0.08664))))))(0.95587)))(x1))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433524838498304.0000000000000000000000000 |
MELHOR: (-(*(sin(0.47661))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sin(0.32597))(sin(0.08664))))))(0.95587)))(x1))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433524838498304.0000000000000000000000000 |
MELHOR: (-(*(sin(0.51787))(*(x1)(x1)))(-(-(0.77407)(/(/(sqrt(*(-(sqrt(/(/(-(0.67006)(0.06824))(0.92825))(x1)))(0.08136))(0.61296)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433509067915264.0000000000000000000000000 |
MELHOR: (-(*(sin(0.51787))(*(x1)(x1)))(-(-(0.77407)(/(/(sqrt(*(-(sqrt(/(/(-(0.67006)(0.06824))(0.92825))(x1)))(0.08136))(0.61296)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433509067915264.0000000000000000000000000 |
MELHOR: (-(*(sin(0.51787))(*(x1)(x1)))(-(-(0.77407)(/(/(sqrt(*(-(x1)(0.08136))(0.61296)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 23 | Erro: 433507826401280.0000000000000000000000000 |
MELHOR: (-(*(sin(0.51787))(*(x1)(x1)))(*(*(0.35466)(-(*(x1)(x1))(x1)))(+(/(x1)(0.39253))(cos(sqrt(sqrt(-(/(0.11496)(0.48585))(x1)))))))) | Numero de nos: 27 | Erro: 432698090848256.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(0.24192)(cos(sqrt(cos(0.43400)))))(x1)))(x1))(0.73720))(sin(0.40761)))(*(x1)(x1)))) | Numero de nos: 29 | Erro: 433723614953472.0000000000000000000000000 |
MELHOR: (-(*(x1)(*(/(x1)(x1))(x1)))(-(-(0.77407)(/(/(sqrt(0.14368))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 20 | Erro: 433283615686656.0000000000000000000000000 |
MELHOR: (-(*(x1)(*(/(x1)(x1))(x1)))(-(-(0.77407)(/(/(sqrt(0.14368))(0.51787))(x1)))(*(x1)(x1)))) | Numero de nos: 20 | Erro: 433283951230976.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(0.24192)(cos(sqrt(cos(0.43400)))))(0.27854)))(x1))(0.89056))(sin(0.40761)))(*(x1)(x1)))) | Numero de nos: 29 | Erro: 433722172112896.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(0.24192)(cos(sqrt(x1))))(0.27854)))(x1))(0.89056))(sin(0.40761)))(*(x1)(x1)))) | Numero de nos: 28 | Erro: 433722440548352.0000000000000000000000000 |
MELHOR: (-(*(cos(0.98196))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(x1)(cos(sqrt(/(x1)(0.73720)))))(x1)))(x1))(0.73720))(sin(0.40761)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433482694131712.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(x1)(cos(sqrt(/(x1)(0.73720)))))(x1)))(x1))(0.73720))(sin(0.40761)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433449877897216.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(sqrt(sin(*(-(*(sin(-(-(sqrt(/(0.50676)(*(x1)(0.06137))))(x1))(0.54036)))(x1))(0.77877))(x1))))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433449475244032.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(sqrt(sin(*(-(*(sqrt(0.19221))(x1))(0.77877))(x1))))(*(x1)(x1)))) | Numero de nos: 21 | Erro: 433449475244032.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(x1)(cos(sqrt(/(0.33830)(0.73720)))))(x1)))(x1))(x1))(sin(x1)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433449273917440.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(-(*(sqrt(sin(*(-(*(sqrt(0.19221))(x1))(0.77877))(x1))))(x1))(x1))(*(x1)(x1)))) | Numero de nos: 25 | Erro: 433448971927552.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(-(*(sqrt(sin(*(-(*(x1)(x1))(0.77877))(x1))))(x1))(x1))(*(x1)(x1)))) | Numero de nos: 24 | Erro: 433448435056640.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(-(*(sqrt(sin(*(-(*(x1)(x1))(0.77877))(x1))))(x1))(x1))(*(x1)(x1)))) | Numero de nos: 24 | Erro: 433448435056640.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(*(sqrt(x1))(x1))))(-(-(*(sqrt(sin(*(-(*(x1)(x1))(0.77877))(x1))))(x1))(x1))(*(x1)(x1)))) | Numero de nos: 27 | Erro: 432704600408064.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(*(sqrt(x1))(x1))))(-(-(*(sqrt(sin(*(-(sin(sin(sqrt(*(x1)(0.77126)))))(0.77877))(x1))))(x1))(x1))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 432705137278976.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(-(*(sqrt(sin(*(-(*(sin(*(cos(x1))(x1)))(x1))(0.77877))(x1))))(x1))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433002530209792.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(-(*(cos(-(cos(-(cos(*(sin(sin(x1)))(cos(0.36381))))(0.62062)))(x1)))(x1))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433001859121152.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(*(x1)(x1)))(-(-(-(*(sqrt(sin(*(-(*(x1)(x1))(0.77877))(x1))))(x1))(cos(0.89056)))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 29 | Erro: 433001724903424.0000000000000000000000000 |
MELHOR: (-(*(x1)(x1))(-(-(*(sqrt(sin(*(-(*(-(*(x1)(x1))(cos(x1)))(x1))(0.77877))(0.44407))))(x1))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 28 | Erro: 432837677285376.0000000000000000000000000 |
MELHOR: (-(*(x1)(x1))(-(-(*(sqrt(sin(*(-(*(-(*(x1)(x1))(cos(x1)))(x1))(0.77877))(0.44407))))(x1))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 28 | Erro: 432837677285376.0000000000000000000000000 |
MELHOR: (-(*(x1)(x1))(-(-(*(sqrt(sin(*(-(*(-(*(x1)(x1))(cos(x1)))(x1))(0.77877))(0.44407))))(x1))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 28 | Erro: 432837677285376.0000000000000000000000000 |
MELHOR: (-(*(x1)(x1))(-(-(*(sqrt(sin(*(-(*(cos(x1))(x1))(0.77877))(x1))))(x1))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 24 | Erro: 432836905533440.0000000000000000000000000 |
MELHOR: (-(*(x1)(x1))(-(-(*(sqrt(sin(*(-(*(0.72771)(x1))(0.25043))(0.44407))))(*(x1)(x1)))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 25 | Erro: 433225197420544.0000000000000000000000000 |
MELHOR: (-(*(x1)(*(sin(*(cos(0.20170))(x1)))(x1)))(-(-(*(sqrt(sin(*(-(*(0.72771)(x1))(0.77877))(0.44407))))(x1))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 29 | Erro: 433253752242176.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(x1))(-(-(*(sqrt(sin(*(-(-(/(/(sqrt(0.39839))(0.17444))(sin(0.08545)))(x1))(x1))(x1))))(x1))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433283213033472.0000000000000000000000000 |
MELHOR: (-(*(cos(0.89056))(x1))(-(-(*(sqrt(sin(*(-(-(/(/(sqrt(0.39839))(0.17444))(sin(0.08545)))(0.17444))(x1))(x1))))(x1))(*(x1)(x1)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433283515023360.0000000000000000000000000 |
MELHOR: (-(*(x1)(x1))(-(-(*(sqrt(sin(*(-(/(sqrt(0.39839))(0.17444))(0.77877))(0.67653))))(x1))(*(sin(-(*(x1)(sqrt(x1)))(0.91424)))(x1)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433283582132224.0000000000000000000000000 |
MELHOR: (-(*(x1)(x1))(-(-(*(sqrt(sin(*(-(/(sqrt(0.39839))(0.17444))(x1))(x1))))(x1))(x1))(*(x1)(*(/(cos(*(0.80489)(0.97027)))(sin(0.45326)))(x1))))) | Numero de nos: 30 | Erro: 433005583663104.0000000000000000000000000 |
MELHOR: (-(*(x1)(x1))(-(-(*(sqrt(sin(*(-(/(sqrt(0.39839))(0.17444))(x1))(x1))))(x1))(x1))(*(x1)(*(/(cos(*(0.80489)(0.97027)))(sin(0.45326)))(x1))))) | Numero de nos: 30 | Erro: 433005583663104.0000000000000000000000000 |
MELHOR: (-(*(x1)(x1))(-(-(*(-(0.87796)(cos(cos(+(*(sqrt(+(x1)(*(x1)(x1))))(x1))(x1)))))(x1))(*(x1)(x1)))(/(x1)(x1)))) | Numero de nos: 28 | Erro: 433283145924608.0000000000000000000000000 |
