/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 8: 
MELHOR: (+(x1)(-(*(x1)(/(+(x1)(+(/(sqrt(0.93683))(0.04465))(x1)))(0.04465)))(0.25986))) | Numero de nos: 16 | Erro: 414615674552320.0000000000000000000000000 |
MELHOR: (+(x1)(-(*(x1)(/(+(x1)(+(*(cos(/(*(-(x1)(+(*(*(0.22480)(x1))(sqrt(x1)))(0.96554)))(sin(0.62856)))(x1)))(x1))(x1)))(0.04465)))(0.25986))) | Numero de nos: 30 | Erro: 405476420354048.0000000000000000000000000 |
MELHOR: (+(x1)(-(*(x1)(/(+(x1)(+(/(sqrt(x1))(*(+(0.68731)(/(sqrt(x1))(x1)))(cos(sqrt(/(x1)(cos(/(0.12601)(0.60952))))))))(x1)))(0.04465)))(0.25986))) | Numero de nos: 30 | Erro: 413718160605184.0000000000000000000000000 |
MELHOR: (+(x1)(-(*(x1)(/(+(x1)(+(/(/(*(-(x1)(+(*(*(0.22480)(x1))(sqrt(x1)))(0.96554)))(sin(0.62856)))(0.61379))(0.04465))(x1)))(0.04465)))(0.25986))) | Numero de nos: 29 | Erro: 389734929006592.0000000000000000000000000 |
MELHOR: (+(x1)(-(*(x1)(/(+(x1)(+(*(cos(sqrt(x1)))(x1))(x1)))(0.04465)))(0.25986))) | Numero de nos: 17 | Erro: 407641553633280.0000000000000000000000000 |
MELHOR: (+(x1)(-(*(+(cos(sqrt(sqrt(-(*(0.91656)(*(sqrt(sqrt(0.10605)))(0.60952)))(0.18830)))))(x1))(/(+(x1)(+(*(cos(sqrt(0.93683)))(x1))(x1)))(0.04465)))(0.25986))) | Numero de nos: 30 | Erro: 408926252171264.0000000000000000000000000 |
MELHOR: (+(x1)(-(*(+(cos(sqrt(sqrt(-(*(0.91656)(*(sqrt(sqrt(0.10605)))(0.60952)))(0.18830)))))(x1))(/(+(x1)(+(*(cos(sqrt(0.93683)))(x1))(x1)))(0.04465)))(0.25986))) | Numero de nos: 30 | Erro: 408926252171264.0000000000000000000000000 |
MELHOR: (+(x1)(-(*(+(cos(sqrt(sqrt(-(*(0.91656)(*(sqrt(sqrt(0.10605)))(x1)))(0.18830)))))(x1))(/(+(x1)(+(*(cos(sqrt(0.93683)))(x1))(x1)))(0.04465)))(0.25986))) | Numero de nos: 30 | Erro: 409225826140160.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(-(cos(sqrt(+(0.66988)(sin(0.68783)))))(*(cos(x1))(0.51051)))(0.58837))))(0.18119))(x1)))(0.04465))) | Numero de nos: 26 | Erro: 362451820347392.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(-(-(cos(sqrt(0.43263)))(0.10062))(*(cos(x1))(0.51051)))(0.58837))))(0.18119))(x1)))(0.04465))) | Numero de nos: 25 | Erro: 362454102048768.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(-(-(cos(sqrt(0.43263)))(0.10062))(*(cos(x1))(x1)))(0.58837))))(0.18119))(x1)))(0.04465))) | Numero de nos: 25 | Erro: 362358438363136.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(-(-(cos(x1))(+(/(x1)(0.93683))(/(0.84460)(x1))))(*(cos(x1))(0.51051)))(0.58837))))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 359028462977024.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(-(-(cos(x1))(+(/(x1)(0.93683))(/(0.84460)(x1))))(*(cos(x1))(0.51051)))(0.58837))))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 359028462977024.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(-(-(cos(x1))(+(/(x1)(0.93683))(/(0.84460)(x1))))(*(cos(x1))(0.51051)))(0.58837))))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 359028462977024.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(-(-(cos(x1))(+(/(x1)(0.93683))(/(0.84460)(x1))))(*(cos(x1))(0.51051)))(0.58837))))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 359028462977024.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(-(-(cos(x1))(+(/(x1)(0.93683))(/(0.04465)(0.18848))))(*(cos(x1))(0.51051)))(x1))))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 357437244702720.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(-(-(cos(x1))(+(/(x1)(0.93683))(/(0.04465)(x1))))(*(cos(x1))(0.51051)))(x1))))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 357429829173248.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(x1)(sqrt(-(/(+(x1)(sqrt(0.64489)))(0.68194))(x1))))(0.18119))(x1)))(0.04465))) | Numero de nos: 21 | Erro: 364471797153792.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(0.18119)(sqrt(-(-(-(cos(x1))(+(/(x1)(0.44636))(/(0.84460)(x1))))(*(cos(x1))(0.51051)))(x1))))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 407432509521920.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(0.18119)(sqrt(-(-(-(cos(x1))(+(/(x1)(0.44636))(/(0.84460)(x1))))(*(cos(x1))(0.51051)))(x1))))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 407432509521920.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(+(x1)(+(/(-(0.18119)(sqrt(-(-(-(cos(x1))(x1))(*(cos(x1))(0.51051)))(x1))))(0.18119))(x1)))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 290346365878272.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(+(x1)(+(cos(sin(sqrt(cos(x1)))))(x1)))(0.18119))(x1)))(0.04465))) | Numero de nos: 19 | Erro: 314428784377856.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(+(x1)(+(cos(sin(sqrt(cos(x1)))))(x1)))(0.18119))(x1)))(0.04465))) | Numero de nos: 19 | Erro: 314428784377856.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.57250)))(+(/(-(0.18119)(sqrt(-(-(-(0.58837)(+(/(x1)(0.44636))(/(0.84460)(x1))))(x1))(x1))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 392280401772544.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(x1)(+(/(-(+(x1)(sin(0.23542)))(sqrt(-(-(-(0.58837)(+(/(x1)(x1))(/(0.84460)(sqrt(0.85809)))))(x1))(x1))))(0.18119))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 357571093331968.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.88314)))(+(/(-(0.18119)(sqrt(-(-(-(0.58837)(+(/(x1)(0.44636))(/(0.84460)(x1))))(x1))(x1))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 392282079494144.0000000000000000000000000 |
