/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 9: 
(-(+(-(+(+(x1)(+(*(0.10752)(x1))(x1)))(*(-(+(*(*(x1)(-(0.06455)(x1)))(x1))(*(x1)(x1)))(x1))(x1)))(0.73516))(0.31666))(x1)) | Numero de nos: 29 | Erro: 1742268650225664.0000000000000000000000000 |
(0.55409) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(0.34751)(*(/(+(*(*(*(x1)(0.71987))(+(*(x1)(+(*(x1)(/(+(+(x1)(x1))(x1))(0.63369)))(0.60201)))(x1)))(0.04309))(0.94763))(x1))(x1))) | Numero de nos: 29 | Erro: 390951444938752.0000000000000000000000000 |
(/(/(-(0.32444)(+(x1)(+(/(*(0.53539)(x1))(*(*(x1)(/(x1)(0.31260)))(0.30271)))(-(+(0.60619)(0.58949))(+(-(x1)(0.51683))(0.29673))))))(0.81283))(0.62346)) | Numero de nos: 29 | Erro: 434177170210816.0000000000000000000000000 |
(0.05329) | Numero de nos: 1 | Erro: 434176633339904.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(+(0.94183)(-(+(-(/(-(+(-(x1)(-(/(-(+(/(+(0.80898)(x1))(x1))(x1))(x1))(x1))(x1)))(0.75228))(0.15213))(0.88989))(x1))(x1))(0.58895))) | Numero de nos: 29 | Erro: 434177203765248.0000000000000000000000000 |
(0.50703) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(-(x1)(*(*(+(0.54790)(0.22733))(*(/(/(/(-(0.00397)(+(0.07367)(*(+(*(x1)(x1))(0.38643))(x1))))(x1))(0.17463))(0.92727))(0.96539)))(0.17649)))(x1)) | Numero de nos: 29 | Erro: 434788632625152.0000000000000000000000000 |
(/(0.62154)(*(0.46883)(-(x1)(x1)))) | Numero de nos: 7 | Erro: 434176364904448.0000000000000000000000000 |
