/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 8: 
(/(+(/(+(0.67717)(-(+(/(/(-(+(-(x1)(-(/(0.14466)(-(0.03830)(x1)))(0.29401)))(x1))(x1))(0.29640))(0.22214))(0.97504))(0.90878)))(x1))(0.83935))(x1)) | Numero de nos: 29 | Erro: 434176566231040.0000000000000000000000000 |
(-(/(+(+(/(x1)(x1))(+(/(*(0.71169)(+(x1)(/(x1)(*(0.86395)(+(/(-(0.32713)(x1))(x1))(x1))))))(0.35658))(x1)))(x1))(x1))(x1)) | Numero de nos: 29 | Erro: 434175224053760.0000000000000000000000000 |
(*(+(*(+(/(-(+(+(0.40819)(+(-(x1)(*(x1)(+(/(-(x1)(x1))(x1))(0.97464))))(x1)))(x1))(x1))(0.97339))(0.06461))(0.62557))(0.72735))(0.29777)) | Numero de nos: 29 | Erro: 434176566231040.0000000000000000000000000 |
(/(0.63692)(-(*(0.80264)(/(-(+(0.80550)(-(-(x1)(x1))(0.87954)))(-(*(0.93539)(-(0.64415)(*(+(-(0.85867)(x1))(x1))(x1))))(x1)))(0.23115)))(0.15781))) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(-(+(/(+(-(x1)(x1))(*(/(0.00397)(0.11298))(*(-(/(-(+(/(/(0.61049)(0.83352))(0.62801))(0.54604))(x1))(x1))(0.13572))(x1))))(x1))(0.94812))(0.91116)) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(+(/(0.57439)(*(+(0.22745)(*(/(0.61730)(-(-(x1)(/(x1)(+(x1)(/(/(*(/(x1)(x1))(x1))(0.28706))(x1)))))(0.30143)))(x1)))(x1)))(0.52699)) | Numero de nos: 29 | Erro: 434176499122176.0000000000000000000000000 |
(0.10184) | Numero de nos: 1 | Erro: 434176599785472.0000000000000000000000000 |
(-(x1)(0.78509)) | Numero de nos: 3 | Erro: 434177069547520.0000000000000000000000000 |
(0.22071) | Numero de nos: 1 | Erro: 434176599785472.0000000000000000000000000 |
(0.23151) | Numero de nos: 1 | Erro: 434176599785472.0000000000000000000000000 |
(-(*(/(x1)(+(*(x1)(x1))(/(-(/(*(/(-(0.77663)(x1))(/(+(-(0.66912)(x1))(0.93344))(x1)))(0.85437))(x1))(0.73760))(0.70376))))(x1))(0.87722)) | Numero de nos: 29 | Erro: 434176599785472.0000000000000000000000000 |
(+(/(x1)(0.48305))(*(/(*(-(-(x1)(*(x1)(0.67827)))(-(*(+(0.14103)(*(*(-(0.17573)(0.58589))(x1))(0.79357)))(x1))(0.08322)))(0.19706))(x1))(0.04593))) | Numero de nos: 29 | Erro: 434177304428544.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(*(/(x1)(/(-(0.51653)(*(+(+(+(+(x1)(/(x1)(/(0.56548)(-(-(x1)(0.97574))(0.61928)))))(x1))(x1))(x1))(0.36430)))(x1)))(x1))(x1)) | Numero de nos: 29 | Erro: 434871109419008.0000000000000000000000000 |
(0.89306) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(-(+(-(x1)(+(*(x1)(*(-(*(0.75457)(/(/(+(0.46333)(+(*(+(x1)(x1))(0.52684))(0.42705)))(x1))(0.29508)))(x1))(x1)))(0.53639)))(0.87197))(x1)) | Numero de nos: 29 | Erro: 436720663265280.0000000000000000000000000 |
(-(-(/(0.10727)(/(x1)(-(+(+(*(/(*(0.08252)(x1))(0.38392))(x1))(+(+(*(x1)(x1))(*(x1)(x1)))(0.49788)))(x1))(x1))))(0.46843))(x1)) | Numero de nos: 29 | Erro: 434176398458880.0000000000000000000000000 |
(+(0.00198)(/(x1)(-(0.83242)(*(/(0.87680)(x1))(0.45860))))) | Numero de nos: 11 | Erro: 434176935329792.0000000000000000000000000 |
(-(*(0.52477)(/(*(/(+(/(-(-(/(*(x1)(0.99329))(/(-(x1)(+(x1)(0.61174)))(x1)))(0.10364))(x1))(x1))(x1))(0.80715))(x1))(0.41658)))(0.80013)) | Numero de nos: 29 | Erro: 434611129679872.0000000000000000000000000 |
(-(*(/(-(*(0.74618)(-(x1)(*(x1)(x1))))(x1))(+(-(/(0.66726)(*(0.60607)(x1)))(0.80160))(-(+(+(0.44523)(x1))(x1))(0.10041))))(x1))(0.73113)) | Numero de nos: 29 | Erro: 434343365312512.0000000000000000000000000 |
(+(0.62661)(/(x1)(+(*(+(*(0.80703)(x1))(*(x1)(0.86392)))(0.83520))(x1)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(0.01105) | Numero de nos: 1 | Erro: 434176633339904.0000000000000000000000000 |
(0.44765) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(-(*(*(0.69259)(x1))(/(0.34419)(0.17936)))(/(-(x1)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434177304428544.0000000000000000000000000 |
(/(+(+(0.46916)(0.29487))(*(x1)(x1)))(/(*(x1)(x1))(/(0.86758)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
