Seed 1: 
(+(-(-(cos (/(*(-(/(cos (+(*(-(x1)(cos (x1)))(/(/(-(x1)(0.12464))(x1))(x1)))(0.99502)))(0.64763))(x1))(x1))(0.55666)))(x1))(0.23167))(0.97104)) | Numero de nos: 30 | Erro = 434176062914560.0000000000000000000000000  
(x1) | Numero de nos: 1 | Erro = 434176901775360.0000000000000000000000000  
(/(cos (x1))(+(sqrt (-(*(sqrt (/(sin (-(0.69927)(cos (0.87625))))(cos (/(cos (x1))(cos (0.86334))))))(cos (/(+(x1)(*(x1)(x1)))(x1))))(x1)))(x1))) | Numero de nos: 30 | Erro = 434176633339904.0000000000000000000000000  
(+(/(/(cos (0.35401))(cos (*(/(-(sqrt (/(+(+(-(0.80761)(+(-(sin (x1))(0.05365))(x1)))(x1))(sqrt (0.65401)))(x1)))(x1))(0.98349))(x1))))(x1))(x1)) | Numero de nos: 30 | Erro = 434176901775360.0000000000000000000000000  
(x1) | Numero de nos: 1 | Erro = 434176901775360.0000000000000000000000000  
(sqrt (*(-(x1)(/(sqrt (0.99875))(sin (-(sqrt (cos (sin (-(0.29038)(+(cos (*(/(cos (*(sqrt (x1))(cos (0.79876))))(x1))(x1)))(sin (x1)))))))(0.48939)))))(0.94040))) | Numero de nos: 30 | Erro = 434175794479104.0000000000000000000000000  
(+(/(-(cos (sin (x1)))(cos (+(sqrt (cos (/(+(sin (/(-(x1)(/(-(x1)(/(x1)(sqrt (x1))))(x1)))(x1)))(x1))(x1))))(0.82733))))(x1))(x1)) | Numero de nos: 30 | Erro = 434176935329792.0000000000000000000000000  
(sqrt (-(*(0.95709)(+(cos (sin (sqrt (0.45479))))(sqrt (sin (+(sin (+(*(sqrt (*(*(sqrt (-(0.61827)(+(0.91565)(0.80886))))(0.99750))(x1)))(x1))(x1)))(x1))))))(x1))) | Numero de nos: 30 | Erro = 434175660261376.0000000000000000000000000  
(x1) | Numero de nos: 1 | Erro = 434176901775360.0000000000000000000000000  
(x1) | Numero de nos: 1 | Erro = 434176901775360.0000000000000000000000000  
