/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.30
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 4: 
(+(*(*(*(+(x1)(-(0.89291)(+(/(x1)(-(-(+(*(-(x1)(0.85272))(*(x1)(0.09128)))(x1))(0.85961))(x1)))(0.73937))))(0.68151))(x1))(0.40748))(0.95163)) | Numero de nos: 29 | Erro: 434053052366848.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(0.96499) | Numero de nos: 1 | Erro: 434176364904448.0000000000000000000000000 |
(0.45772) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(/(-(+(-(/(+(+(0.85543)(/(x1)(*(x1)(+(-(/(0.07678)(*(0.99728)(0.69094)))(x1))(0.59655)))))(x1))(0.96457))(x1))(0.74728))(x1))(x1))(0.55519)) | Numero de nos: 29 | Erro: 434176734003200.0000000000000000000000000 |
(/(-(+(0.48897)(-(*(-(+(/(/(-(-(+(+(0.84918)(/(0.22452)(0.79861)))(0.89355))(0.11762))(x1))(0.45018))(x1))(x1))(0.32569))(x1))(0.83520)))(x1))(x1)) | Numero de nos: 29 | Erro: 434177807745024.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(+(-(*(x1)(/(x1)(x1)))(+(*(+(/(x1)(x1))(*(0.17038)(+(/(+(-(x1)(-(0.82128)(x1)))(x1))(x1))(0.55064))))(0.80618))(x1)))(x1)) | Numero de nos: 29 | Erro: 434177304428544.0000000000000000000000000 |
(/(x1)(0.88128)) | Numero de nos: 3 | Erro: 434177035993088.0000000000000000000000000 |
(*(*(0.16138)(0.44926))(/(0.02832)(+(-(/(*(x1)(-(*(/(+(*(+(*(0.84765)(0.95669))(0.73482))(0.37700))(x1))(x1))(x1))(x1)))(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(/(/(0.24369)(/(0.41295)(*(x1)(x1))))(/(-(+(+(+(*(0.78506)(-(-(0.83047)(0.66814))(x1)))(0.93286))(+(-(x1)(x1))(x1)))(x1))(x1))(x1))) | Numero de nos: 29 | Erro: 432929113112576.0000000000000000000000000 |
(/(0.00323)(+(0.62926)(/(*(-(-(/(x1)(+(x1)(-(*(+(*(0.20325)(-(-(x1)(x1))(x1)))(0.69744))(0.11035))(0.98239))))(x1))(0.59114))(x1))(0.81097)))) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(+(+(/(x1)(-(-(-(+(x1)(x1))(-(0.98379)(0.25043)))(0.00128))(-(+(x1)(0.02164))(/(-(+(0.50819)(x1))(x1))(0.82186)))))(x1))(0.87158))(x1)) | Numero de nos: 29 | Erro: 433730661384192.0000000000000000000000000 |
(/(0.11414)(0.95065)) | Numero de nos: 3 | Erro: 434176599785472.0000000000000000000000000 |
(-(-(*(/(0.97479)(/(-(-(x1)(-(-(*(-(*(0.16843)(/(+(0.28465)(0.82421))(x1)))(0.87722))(0.78863))(x1))(0.18699)))(x1))(x1)))(0.52370))(x1))(0.65361)) | Numero de nos: 29 | Erro: 434176197132288.0000000000000000000000000 |
(*(+(x1)(/(+(0.37455)(*(x1)(/(x1)(0.02557))))(+(0.87216)(x1))))(*(x1)(-(x1)(x1)))) | Numero de nos: 19 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(+(0.33372)(/(/(*(+(+(x1)(+(*(*(-(/(+(0.58220)(0.74355))(x1))(0.50002))(x1))(x1))(x1)))(0.77840))(x1))(0.89962))(x1)))(x1))(x1)) | Numero de nos: 29 | Erro: 431977240985600.0000000000000000000000000 |
(-(*(0.99310)(+(+(-(*(x1)(-(x1)(/(0.60088)(x1))))(*(+(x1)(+(0.55595)(/(*(-(x1)(x1))(x1))(0.89718))))(0.35575)))(0.45701))(x1)))(0.47282)) | Numero de nos: 29 | Erro: 433733614174208.0000000000000000000000000 |
(+(+(-(*(*(/(*(0.48958)(*(x1)(+(x1)(-(x1)(x1)))))(x1))(*(0.97439)(+(0.67281)(x1))))(+(+(x1)(x1))(x1)))(x1))(0.46843))(0.15378)) | Numero de nos: 29 | Erro: 435799627661312.0000000000000000000000000 |
(*(-(-(0.04950)(x1))(-(x1)(x1)))(-(*(x1)(0.47935))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 435752617902080.0000000000000000000000000 |
(-(-(-(x1)(x1))(-(0.49840)(x1)))(-(-(x1)(x1))(-(0.73366)(0.33485)))) | Numero de nos: 15 | Erro: 434176935329792.0000000000000000000000000 |
(-(+(*(0.99734)(0.57109))(+(0.65667)(0.42592)))(/(+(x1)(0.58830))(/(0.01794)(0.47774)))) | Numero de nos: 15 | Erro: 434170123780096.0000000000000000000000000 |
(/(+(+(x1)(0.88711))(+(0.83184)(x1)))(+(-(0.62020)(0.09494))(-(0.65075)(0.64205)))) | Numero de nos: 15 | Erro: 434177170210816.0000000000000000000000000 |
(-(/(*(0.85525)(x1))(+(0.07520)(x1)))(-(/(0.49461)(x1))(/(0.93799)(x1)))) | Numero de nos: 15 | Erro: 434176398458880.0000000000000000000000000 |
(/(+(-(0.66713)(0.75881))(*(x1)(x1)))(*(/(x1)(0.30137))(*(x1)(0.68459)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(-(-(+(x1)(x1))(+(x1)(0.71612)))(+(-(x1)(0.86294))(-(x1)(0.36821)))) | Numero de nos: 15 | Erro: 434176029360128.0000000000000000000000000 |
(-(*(*(x1)(0.69463))(/(x1)(0.71032)))(*(-(0.93777)(0.23600))(-(0.78896)(0.49272)))) | Numero de nos: 15 | Erro: 433739821744128.0000000000000000000000000 |
(/(-(*(0.37992)(0.24329))(*(0.85791)(x1)))(/(-(0.07614)(0.55809))(*(x1)(0.75552)))) | Numero de nos: 15 | Erro: 433575908343808.0000000000000000000000000 |
(-(+(/(0.25349)(0.84350))(-(x1)(0.90210)))(+(/(0.88748)(0.98440))(*(0.91311)(0.92929)))) | Numero de nos: 15 | Erro: 434177572864000.0000000000000000000000000 |
(*(/(*(0.42607)(0.95065))(*(0.58953)(0.10367)))(+(+(0.43019)(0.39482))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 431220454326272.0000000000000000000000000 |
(+(/(/(x1)(0.11270))(+(0.41938)(0.26243)))(-(+(0.91723)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434181532286976.0000000000000000000000000 |
(+(*(/(0.94635)(x1))(+(0.77126)(x1)))(/(*(0.74340)(x1))(/(x1)(0.69375)))) | Numero de nos: 15 | Erro: 434176197132288.0000000000000000000000000 |
(+(/(*(0.87316)(0.63057))(-(x1)(0.33000)))(+(/(0.26563)(0.08444))(-(0.87155)(x1)))) | Numero de nos: 15 | Erro: 434175224053760.0000000000000000000000000 |
(/(-(-(0.35456)(x1))(*(x1)(x1)))(*(*(0.22224)(x1))(/(0.96042)(0.72655)))) | Numero de nos: 15 | Erro: 434176197132288.0000000000000000000000000 |
(*(/(-(0.11640)(x1))(-(x1)(0.44462)))(/(/(0.47203)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(+(/(x1)(0.97671))(-(0.31959)(0.59239)))(/(/(x1)(0.51830))(+(0.19346)(0.08435)))) | Numero de nos: 15 | Erro: 434179552575488.0000000000000000000000000 |
(+(-(-(0.44618)(x1))(/(0.48598)(x1)))(+(-(0.02869)(0.40822))(-(x1)(0.51845)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(+(*(+(x1)(0.52055))(+(0.50276)(x1)))(-(*(x1)(x1))(+(x1)(0.34141)))) | Numero de nos: 15 | Erro: 433283749904384.0000000000000000000000000 |
(+(-(-(0.80602)(x1))(+(0.21046)(x1)))(+(-(0.98480)(x1))(*(0.66018)(x1)))) | Numero de nos: 15 | Erro: 434175324717056.0000000000000000000000000 |
(-(+(/(0.58190)(x1))(-(x1)(x1)))(/(*(0.06241)(0.52477))(+(0.50624)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(/(*(x1)(0.94119))(/(0.43263)(0.85955)))(/(+(0.64907)(0.03287))(-(0.64467)(0.17869)))) | Numero de nos: 15 | Erro: 434176901775360.0000000000000000000000000 |
(-(*(+(0.48167)(x1))(/(x1)(x1)))(-(/(x1)(x1))(*(0.45964)(x1)))) | Numero de nos: 15 | Erro: 434177203765248.0000000000000000000000000 |
(*(/(+(0.81139)(x1))(-(x1)(0.00861)))(-(-(0.45958)(x1))(/(0.44075)(0.25593)))) | Numero de nos: 15 | Erro: 434176834666496.0000000000000000000000000 |
(*(/(/(x1)(x1))(+(x1)(x1)))(-(*(0.01782)(0.10221))(/(0.43171)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(*(/(0.24415)(0.86364))(-(0.70095)(0.46666)))(/(-(0.69195)(x1))(+(0.89877)(x1)))) | Numero de nos: 15 | Erro: 434176801112064.0000000000000000000000000 |
(*(/(-(x1)(x1))(-(x1)(x1)))(-(/(0.68908)(0.59587))(*(0.30335)(0.21769)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(*(-(-(0.45106)(0.60240))(/(0.77587)(0.35166)))(+(/(0.09302)(0.28846))(+(0.41090)(x1)))) | Numero de nos: 15 | Erro: 434176096468992.0000000000000000000000000 |
(/(-(+(x1)(0.70720))(-(0.12265)(0.39741)))(*(*(0.02911)(0.94388))(/(0.50951)(0.19221)))) | Numero de nos: 15 | Erro: 434178344615936.0000000000000000000000000 |
(-(/(*(x1)(x1))(/(x1)(0.57454)))(+(-(x1)(0.89453))(+(x1)(0.69036)))) | Numero de nos: 15 | Erro: 434175928696832.0000000000000000000000000 |
(+(/(-(x1)(x1))(+(0.08625)(x1)))(/(*(x1)(0.66185))(-(0.32441)(x1)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
