/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 3: 
(+(/(-(-(0.19672)(*(-(0.06357)(0.79699))(0.44758)))(+(0.53493)(/(/(-(+(+(-(-(x1)(0.90329))(x1))(0.16602))(0.89068))(x1))(0.84448))(0.00494))))(0.75018))(0.57454)) | Numero de nos: 29 | Erro: 434316857311232.0000000000000000000000000 |
(0.59145) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(0.46699) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(x1)(/(x1)(-(-(*(x1)(/(*(-(x1)(*(0.26698)(*(-(*(x1)(-(-(x1)(0.22416))(x1)))(x1))(0.78198))))(0.02844))(0.57070)))(x1))(0.72805)))) | Numero de nos: 29 | Erro: 434171600175104.0000000000000000000000000 |
(*(/(/(x1)(*(0.05002)(0.13465)))(0.92093))(x1)) | Numero de nos: 9 | Erro: 365411858120704.0000000000000000000000000 |
(/(/(/(0.61876)(+(0.10373)(0.27476)))(*(/(+(-(0.15989)(+(-(*(0.88455)(-(-(-(0.53529)(0.07965))(0.18647))(x1)))(0.07053))(0.60500)))(0.05426))(0.19694))(0.86459)))(x1)) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(0.79217) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(0.92328) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(0.67034) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(+(-(/(/(*(-(-(-(0.72939)(0.50865))(+(/(+(*(*(0.50517)(x1))(x1))(0.03363))(x1))(x1)))(x1))(0.91977))(x1))(0.31678))(0.53505))(0.56450))(0.90518)) | Numero de nos: 29 | Erro: 434178210398208.0000000000000000000000000 |
(/(0.49245)(/(x1)(*(x1)(x1)))) | Numero de nos: 7 | Erro: 434176700448768.0000000000000000000000000 |
(*(*(0.71801)(/(/(+(+(x1)(x1))(*(+(x1)(/(0.16404)(/(*(x1)(/(x1)(*(-(x1)(0.17200))(x1))))(x1))))(0.94391)))(x1))(0.86639)))(x1)) | Numero de nos: 29 | Erro: 434177539309568.0000000000000000000000000 |
(/(-(0.84204)(x1))(/(-(/(/(x1)(+(x1)(+(0.01373)(0.13010))))(-(0.66076)(-(x1)(/(0.46025)(/(/(x1)(x1))(-(x1)(x1)))))))(x1))(0.29347))) | Numero de nos: 29 | Erro: 434176499122176.0000000000000000000000000 |
(0.83517) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(0.69091) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(*(0.38993)(+(-(/(+(/(x1)(x1))(-(+(/(*(-(*(0.67507)(0.68642))(/(x1)(x1)))(0.48302))(0.46104))(0.19706))(0.46391)))(x1))(x1))(0.26942)))(0.80669)) | Numero de nos: 29 | Erro: 434176398458880.0000000000000000000000000 |
(0.79369) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(/(-(+(0.17057)(0.43089))(+(x1)(0.18229)))(-(+(x1)(0.51738))(+(x1)(0.03897)))) | Numero de nos: 15 | Erro: 434175626706944.0000000000000000000000000 |
(*(/(+(x1)(x1))(/(x1)(0.21397)))(+(*(x1)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 433985876393984.0000000000000000000000000 |
(+(/(/(x1)(x1))(*(0.25178)(x1)))(*(-(0.21546)(x1))(+(0.28886)(x1)))) | Numero de nos: 15 | Erro: 434623343493120.0000000000000000000000000 |
(-(-(-(x1)(x1))(+(0.23435)(0.33024)))(-(+(0.48939)(0.88928))(+(0.74450)(0.04917)))) | Numero de nos: 15 | Erro: 434176868220928.0000000000000000000000000 |
(-(*(/(0.82183)(0.01926))(+(x1)(x1)))(*(+(x1)(0.03098))(*(x1)(0.72561)))) | Numero de nos: 15 | Erro: 434533384060928.0000000000000000000000000 |
(/(+(+(x1)(0.94528))(-(0.26264)(x1)))(*(*(0.36912)(0.16526))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434171667283968.0000000000000000000000000 |
