/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 5: 
(*(/(-(-(-(x1)(+(x1)(-(-(+(x1)(/(/(x1)(+(*(-(0.56694)(x1))(x1))(x1)))(0.08344)))(x1))(0.99194))))(x1))(0.20722))(x1))(x1)) | Numero de nos: 29 | Erro: 434176029360128.0000000000000000000000000 |
(+(x1)(*(x1)(-(-(+(+(-(-(0.00589)(-(*(*(x1)(-(*(x1)(+(x1)(x1)))(x1)))(x1))(x1)))(x1))(x1))(0.63662))(0.34431))(x1)))) | Numero de nos: 29 | Erro: 3565888007569408000.0000000000000000000000000 |
(+(/(0.15030)(-(*(-(-(0.90786)(0.10587))(-(*(/(/(*(-(*(x1)(x1))(/(x1)(x1)))(0.68697))(0.37846))(x1))(0.35462))(0.76028)))(0.50960))(0.19086)))(0.10407)) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(0.43547) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(0.02799) | Numero de nos: 1 | Erro: 434176633339904.0000000000000000000000000 |
(-(x1)(-(x1)(0.46269))) | Numero de nos: 5 | Erro: 434176499122176.0000000000000000000000000 |
(+(-(x1)(0.64232))(x1)) | Numero de nos: 5 | Erro: 434177472200704.0000000000000000000000000 |
(/(x1)(0.78024)) | Numero de nos: 3 | Erro: 434177069547520.0000000000000000000000000 |
(+(*(/(-(0.32817)(-(*(x1)(*(x1)(/(+(/(+(-(-(*(x1)(0.29200))(0.84277))(x1))(x1))(x1))(0.67278))(0.34452))))(0.81320)))(x1))(x1))(x1)) | Numero de nos: 29 | Erro: 435429388058624.0000000000000000000000000 |
(-(-(+(-(0.84796)(x1))(-(/(0.40742)(*(x1)(*(+(/(*(+(x1)(-(*(0.78011)(0.29340))(0.10550)))(x1))(x1))(x1))(0.39689))))(0.11277)))(0.78729))(0.59886)) | Numero de nos: 29 | Erro: 434176364904448.0000000000000000000000000 |
(-(x1)(0.40953)) | Numero de nos: 3 | Erro: 434177035993088.0000000000000000000000000 |
(0.06903) | Numero de nos: 1 | Erro: 434176633339904.0000000000000000000000000 |
(0.44237) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(0.30641) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(0.97488)(0.25935)) | Numero de nos: 3 | Erro: 434176499122176.0000000000000000000000000 |
(+(+(x1)(x1))(+(0.53761)(-(/(+(+(+(*(-(x1)(0.50902))(x1))(+(-(*(/(x1)(0.26811))(x1))(0.23664))(x1)))(0.40196))(0.78036))(x1))(0.74157)))) | Numero de nos: 29 | Erro: 434178982150144.0000000000000000000000000 |
(/(*(0.61333)(-(*(*(/(0.73501)(x1))(-(/(/(*(/(-(+(-(0.57118)(0.20096))(x1))(x1))(x1))(0.14267))(x1))(x1))(0.64714)))(0.16697))(x1)))(x1)) | Numero de nos: 29 | Erro: 434176734003200.0000000000000000000000000 |
(+(-(-(x1)(/(0.08615)(-(0.03668)(x1))))(-(/(+(0.03006)(+(x1)(*(x1)(0.86151))))(+(+(x1)(+(-(x1)(0.48711))(x1)))(x1)))(x1)))(0.47575)) | Numero de nos: 29 | Erro: 434177270874112.0000000000000000000000000 |
(-(*(/(x1)(0.24241))(*(x1)(x1)))(*(-(0.13526)(0.88464))(+(x1)(0.24689)))) | Numero de nos: 15 | Erro: 442584568692736.0000000000000000000000000 |
(+(-(+(x1)(x1))(*(x1)(0.89553)))(-(/(0.99380)(0.41807))(/(0.14322)(x1)))) | Numero de nos: 15 | Erro: 434176432013312.0000000000000000000000000 |
(*(/(*(0.85684)(0.99621))(*(x1)(0.21680)))(-(/(x1)(0.02536))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434137710198784.0000000000000000000000000 |
(*(/(+(0.43858)(x1))(+(0.62737)(0.35624)))(/(/(0.50264)(x1))(+(0.55525)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(/(*(x1)(0.16001))(-(x1)(0.66253)))(-(-(0.75103)(x1))(+(0.97760)(0.20493)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(+(x1)(0.12232))(+(x1)(0.30372)))(+(+(0.94107)(0.16553))(/(0.92370)(x1)))) | Numero de nos: 15 | Erro: 433730493612032.0000000000000000000000000 |
(-(/(/(x1)(0.25596))(-(0.77346)(0.91287)))(/(*(x1)(x1))(+(x1)(0.97354)))) | Numero de nos: 15 | Erro: 434165493268480.0000000000000000000000000 |
(*(-(/(0.65755)(0.18812))(-(0.03174)(x1)))(/(/(x1)(x1))(+(0.15448)(0.02811)))) | Numero de nos: 15 | Erro: 434173915430912.0000000000000000000000000 |
(*(*(*(0.75051)(0.09354))(*(0.15336)(x1)))(+(-(x1)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176566231040.0000000000000000000000000 |
(*(+(/(0.64577)(0.47377))(-(x1)(0.39442)))(*(-(x1)(0.83254))(*(0.74090)(x1)))) | Numero de nos: 15 | Erro: 435080589737984.0000000000000000000000000 |
(*(+(+(x1)(x1))(/(0.62868)(0.16382)))(-(-(x1)(x1))(*(0.32292)(x1)))) | Numero de nos: 15 | Erro: 434464664584192.0000000000000000000000000 |
(/(-(/(x1)(x1))(*(0.98190)(x1)))(/(-(0.29075)(x1))(*(x1)(0.69442)))) | Numero de nos: 15 | Erro: 434176868220928.0000000000000000000000000 |
(*(-(/(x1)(0.85617))(/(0.76589)(0.81429)))(-(*(x1)(x1))(/(0.51976)(0.49895)))) | Numero de nos: 15 | Erro: 436204797427712.0000000000000000000000000 |
(/(/(+(x1)(0.23325))(*(x1)(x1)))(*(/(0.59148)(x1))(/(0.49199)(x1)))) | Numero de nos: 15 | Erro: 434177707081728.0000000000000000000000000 |
(+(*(-(0.02924)(0.45164))(*(x1)(x1)))(*(+(0.28825)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 433472460029952.0000000000000000000000000 |
